Number,Species,SpMyco,Light,SoilSt,SoilCon,SoilSp,SoilMyco,SoilSpec,Adult,Bench,Time,Event,AMF,EMF,NSC,Lignin,Phenolics,AMF_Imp,EMF_Imp,NSC_Imp,LIG_Imp,PHN_Imp
1655,Quru,EMF,Med,Nonsterile,Heterospecific,Prse,AMF,HetAMF,1027,5,84,0,NA,NA,NA,NA,NA,43.07,30.97431048,16.3745774,24.55862233,3.825812064
491,Prse,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,689,2,84,0,NA,NA,NA,NA,NA,8.53E-16,NA,12.55781032,10.40530689,0.10762234
1657,Qual,EMF,Med,Nonsterile,Conspecific,Qual,EMF,Con,1297,5,21,0,NA,NA,18.8,NA,NA,44.21,32.40247244,18.79982708,22.93484022,4.97196695
1338,Prse,AMF,Med,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1478,4,21,0,NA,NA,10.99,NA,NA,41.97636364,NA,10.98905793,8.097789606,0.462196859
1659,Acsa,AMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,277,5,49,1,NA,NA,NA,NA,NA,64.91,NA,12.23745145,13.768604,-0.008079019
533,Prse,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1715,2,84,0,NA,NA,NA,NA,NA,68.81,NA,12.04944724,9.227015053,0.775008824
1661,Qual,EMF,Med,Nonsterile,Heterospecific,Quru,EMF,HetEMF,970,5,84,0,44,NA,NA,NA,NA,44,21.67225501,23.5092599,18.93940699,4.952567056
1662,Quru,EMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,277,5,21,0,NA,NA,19,NA,NA,43.46,33.78667025,18.99657463,21.64520004,4.458788488
536,Prse,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,891,2,84,0,NA,NA,NA,NA,NA,64.04,NA,13.34118999,10.61605871,0.984662107
1664,Qual,EMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,118,5,84,0,40,NA,NA,NA,NA,40,19.02955463,23.1929113,18.79747967,5.047337613
1665,Acsa,AMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,891,5,21,0,63,NA,NA,13.8,-0.46,63,NA,12.11208844,13.84956163,-0.462659855
1666,Acsa,AMF,Med,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1688,5,84,0,66,NA,NA,NA,NA,66,NA,12.3662553,13.66539543,0.124875318
1667,Acsa,AMF,Med,Nonsterile,Heterospecific,Quru,EMF,HetEMF,970,5,84,0,65,NA,NA,NA,NA,65,NA,12.25629195,13.54399903,-0.030504421
1668,Qual,EMF,Med,Nonsterile,Heterospecific,Prse,AMF,HetAMF,1018,5,21,0,46,2,NA,22.1,4.74,46,1.762440343,19.15774485,22.09677246,4.743834583
1383,Prse,AMF,Med,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1386,4,21,0,NA,NA,14.57,NA,NA,54.3752381,NA,14.56838414,12.25900886,1.204377567
1403,Prse,AMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,285,5,21,0,NA,NA,7.89,NA,NA,46.35428571,NA,7.885169803,6.265090931,0.428497445
1671,Acsa,AMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,394,5,84,0,NA,NA,NA,NA,NA,64.95,NA,12.2478047,13.78922484,-0.006077203
1672,Acru,AMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,1384,5,84,0,NA,NA,NA,NA,NA,0.49,NA,10.32648151,7.210610828,-0.012796716
1673,Qual,EMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,1715,5,84,0,0,NA,NA,NA,NA,0,5.385676621,16.94133521,21.23786991,3.312295996
1674,Acru,AMF,Med,Nonsterile,Conspecific,Acru,AMF,Con,1326,5,21,0,41,NA,NA,8.8,0.41,41,NA,11.4662649,8.785167016,0.407039026
1675,Acru,AMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,277,5,21,0,NA,NA,9.45,NA,NA,25.996,NA,9.448579969,7.536405968,-0.144127906
1676,Acru,AMF,Med,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1205,5,21,0,NA,NA,14.25,NA,NA,35.89,NA,14.25370576,11.9743072,1.005403095
1677,Acsa,AMF,Med,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1386,5,21,0,67,NA,NA,13.4,0.21,67,NA,12.3932676,13.3585159,0.207996357
1678,Acsa,AMF,Med,Nonsterile,Conspecific,Acsa,AMF,Con,1757,5,84,0,69,NA,NA,NA,NA,69,NA,12.54535322,13.79971211,0.280796206
1679,Acsa,AMF,Med,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1326,5,84,0,78,NA,NA,NA,NA,78,NA,12.45715068,13.57853913,0.129498389
1680,Prse,AMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,1018,5,21,0,NA,NA,12.66,NA,NA,0.3,NA,12.65687166,10.38538515,0.190216013
538,Prse,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,394,2,84,0,NA,NA,NA,NA,NA,64.06,NA,13.34414165,10.61605871,0.989970604
544,Prse,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,A,2,84,0,NA,NA,NA,NA,NA,8.53E-16,NA,12.58210039,10.39551728,0.106840355
1683,Acru,AMF,Med,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1320,5,84,0,NA,NA,NA,NA,NA,33.602,NA,12.63264447,10.3832962,0.458786227
1684,Acru,AMF,Med,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1478,5,21,0,20,NA,NA,8.4,-0.1,20,NA,11.07139711,8.400970529,-0.097035206
1685,Qual,EMF,Med,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1386,5,21,0,38,28,NA,20.3,4.88,38,28.25645816,20.23013924,20.32674497,4.88362806
1686,Qual,EMF,Med,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1323,5,84,0,NA,NA,NA,NA,NA,40.32,34.97767345,21.29754514,18.6030252,4.848244748
1687,Quru,EMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,1454,5,84,0,NA,NA,NA,NA,NA,5.68E-16,1.202096808,15.08546603,24.45427227,3.347441211
1688,Acru,AMF,Med,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,561,5,84,0,NA,NA,NA,NA,NA,31.9025,NA,12.31195286,10.31104089,0.067764631
1689,Quru,EMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,394,5,84,0,NA,NA,NA,NA,NA,44.86,28.57735658,16.03665813,24.0434685,3.616572495
1423,Prse,AMF,Med,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1384,5,25,1,NA,NA,NA,NA,NA,48.64,NA,12.99760596,10.69418509,0.688281284
1691,Quru,EMF,Med,Nonsterile,Conspecific,Quru,EMF,Con,1688,5,84,0,42,NA,NA,NA,NA,42,34.8693156,13.52520675,25.06007305,3.046301788
1424,Prse,AMF,Med,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,961,5,28,1,NA,NA,NA,NA,NA,49.47,NA,12.81347974,10.73056957,0.569082351
1693,Qual,EMF,Med,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1326,5,84,0,34,NA,NA,NA,NA,34,30.53133768,21.76752399,18.87041359,4.822697007
558,Prse,AMF,High,Nonsterile,Conspecific,Prse,AMF,Con,1027,2,84,0,NA,NA,NA,NA,NA,73.805,NA,12.04280031,9.754559204,0.694855452
1439,Prse,AMF,Med,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1320,5,21,0,NA,NA,13.06,NA,NA,54.37636364,NA,13.06388525,10.78769382,0.74038458
1446,Prse,AMF,Med,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,561,5,46,1,NA,NA,NA,NA,NA,52.82,NA,12.97327471,10.86020127,0.682221873
1697,Quru,EMF,Med,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1757,5,28,1,NA,NA,NA,NA,NA,42.05,27.25310736,14.19105193,25.00326531,3.184555496
1698,Qual,EMF,Med,Nonsterile,Heterospecific,Prse,AMF,HetAMF,1027,5,84,0,NA,NA,NA,NA,NA,41.59,23.74121509,24.52457564,18.6108958,4.933385478
1699,Acru,AMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,118,5,21,0,31,NA,NA,7.3,-0.15,31,NA,9.809483091,7.294664514,-0.15168192
1700,Qual,EMF,Med,Nonsterile,Heterospecific,Quru,EMF,HetEMF,921,5,84,0,43,NA,NA,NA,NA,43,34.64340128,21.66349721,18.59852246,4.900716274
1701,Quru,EMF,Med,Nonsterile,Heterospecific,Prse,AMF,HetAMF,A,5,84,0,NA,NA,NA,NA,NA,43.52,30.32810251,16.35293373,24.72882482,3.809093245
1702,Acru,AMF,Med,Nonsterile,Heterospecific,Prse,AMF,HetAMF,1027,5,21,1,NA,NA,NA,NA,NA,34.03392857,NA,11.75895077,9.424069436,0.070290795
1703,Prse,AMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,689,5,21,0,0,NA,NA,7.1,-0.05,0,NA,10.12043073,7.095681498,-0.051934682
1704,Acru,AMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,118,5,84,0,24,NA,NA,NA,NA,24,NA,10.04220692,7.752753076,-0.136876474
1705,Quru,EMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,1688,5,84,0,0,NA,NA,NA,NA,0,-0.21611746,15.04694001,24.44291113,3.359307318
1706,Quru,EMF,Med,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1205,5,21,0,NA,NA,15.94,NA,NA,47.04,25.38443403,15.94401618,25.61874636,3.613685354
1707,Qual,EMF,Med,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,561,5,21,0,46,26,NA,23.7,5.16,46,25.70492134,19.09342112,23.66996367,5.164150392
1708,Qual,EMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,277,5,21,0,NA,NA,20.38,NA,NA,42.1525,30.91751721,20.37570538,20.4226461,5.020590076
1709,Qual,EMF,Med,Nonsterile,Heterospecific,Prse,AMF,HetAMF,B,5,21,0,46,36,NA,21.2,5.12,46,35.65859238,20.09756581,21.17278391,5.118769786
1710,Acru,AMF,Med,Nonsterile,Heterospecific,Prse,AMF,HetAMF,1018,5,84,0,34,NA,NA,NA,NA,34,NA,12.04929377,9.651865739,0.084697051
1711,Quru,EMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,118,5,84,0,41,NA,NA,NA,NA,41,27.70426283,15.227924,24.46493706,3.473071837
1712,Quru,EMF,Med,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1468,5,84,0,54,NA,NA,NA,NA,54,26.58023179,15.86195876,25.69970324,3.605309696
1474,Prse,AMF,Med,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1332,5,21,0,NA,NA,12.33,NA,NA,48.43666667,NA,12.33045099,10.4903857,0.524087034
1714,Quru,EMF,Med,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,961,5,21,0,NA,NA,12.81,NA,NA,41.28,33.97946599,12.80650926,24.17078707,2.821917074
1715,Acsa,AMF,Med,Nonsterile,Conspecific,Acsa,AMF,Con,961,5,21,0,NA,NA,11.83,NA,NA,65,NA,11.83031782,12.03351222,-0.074379933
1716,Acsa,AMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,961,5,84,0,NA,NA,NA,NA,NA,9.24E-16,NA,12.76274241,13.77040216,0.067637364
1717,Acsa,AMF,Med,Nonsterile,Heterospecific,Acru,AMF,HetAMF,50,5,21,0,72,NA,NA,13.9,0.26,72,NA,12.56824628,13.93511304,0.260833963
1498,Prse,AMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,277,5,49,1,NA,NA,NA,NA,NA,42.82428571,NA,9.915608339,7.503301682,0.460091882
1719,Quru,EMF,Med,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1715,5,84,0,NA,NA,NA,NA,NA,46.51,22.21600886,15.35511456,26.03035147,3.504458
1720,Acru,AMF,Med,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1454,5,21,0,29,NA,NA,10.7,0.07,29,NA,12.39231831,10.69518214,0.068909855
1721,Acsa,AMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,118,5,84,0,61,NA,NA,NA,NA,61,NA,12.16670704,13.56922856,-0.063060607
1722,Quru,EMF,Med,Nonsterile,Heterospecific,Prse,AMF,HetAMF,1018,5,84,0,38,NA,NA,NA,NA,38,28.10405587,15.52903881,24.21152712,3.489246502
1723,Acsa,AMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,1757,5,21,0,0,NA,NA,13.7,-0.05,0,NA,12.20351856,13.69240772,-0.049831942
1724,Acru,AMF,Med,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,561,5,21,0,27,NA,NA,8.9,-0.03,27,NA,11.30067041,8.890872074,-0.028826844
1725,Qual,EMF,Med,Nonsterile,Conspecific,Qual,EMF,Con,1205,5,84,0,41,NA,NA,NA,NA,41,32.41084541,19.05974678,21.69038926,4.911798262
1726,Acru,AMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,1201,5,84,0,28,NA,NA,NA,NA,28,NA,11.03092009,8.703108473,-0.104288738
1727,Prse,AMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,A,5,21,0,0,NA,NA,8,0.12,0,NA,10.92370994,7.995561268,0.118744486
1728,Qual,EMF,Med,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1332,5,84,0,NA,NA,NA,NA,NA,40.255,27.75662882,22.008974,18.72359414,4.903754179
1729,Acsa,AMF,Med,Nonsterile,Heterospecific,Prse,AMF,HetAMF,B,5,21,0,68,NA,NA,13.7,-0.13,68,NA,12.21488067,13.69627991,-0.129312048
1730,Acru,AMF,Med,Nonsterile,Conspecific,Acru,AMF,Con,1386,5,21,0,46,NA,NA,9.1,0.26,46,NA,11.53289479,9.056102555,0.257563717
1731,Acru,AMF,Med,Nonsterile,Heterospecific,Prse,AMF,HetAMF,A,5,32,1,NA,NA,NA,NA,NA,33.78142857,NA,12.05303129,9.631159655,0.090157154
597,Prse,AMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,561,2,84,0,NA,NA,NA,NA,NA,68.655,NA,12.09142137,9.598503252,0.848217941
1733,Qual,EMF,Med,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1468,5,84,0,32,NA,NA,NA,NA,32,32.36113824,19.97237334,20.74631508,4.991920678
1734,Acru,AMF,Med,Nonsterile,Conspecific,Acru,AMF,Con,1326,5,84,0,48,NA,NA,NA,NA,48,NA,12.2906234,10.22433253,0.179870649
1735,Qual,EMF,Med,Nonsterile,Conspecific,Qual,EMF,Con,1205,5,21,0,NA,NA,17.26,NA,NA,43.68,34.3544856,17.25965597,22.11610881,4.145685072
1736,Qual,EMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,1205,5,84,0,0,NA,NA,NA,NA,0,5.19786799,17.41902053,21.13450114,3.360488659
1737,Acsa,AMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,277,5,21,0,NA,NA,12.1,NA,NA,61.8,NA,12.10051428,13.39597483,-0.029859498
1738,Qual,EMF,Med,Nonsterile,Heterospecific,Prse,AMF,HetAMF,1018,5,84,0,43,NA,NA,NA,NA,43,23.27486308,24.17547923,18.64959764,4.930830162
1546,Prse,AMF,Med,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1205,5,21,0,NA,NA,13.95,NA,NA,52.23636364,NA,13.9533573,11.79979014,1.161867736
1740,Quru,EMF,Med,Nonsterile,Heterospecific,Prse,AMF,HetAMF,689,5,84,0,40,NA,NA,NA,NA,40,28.31520321,15.76502694,24.23769606,3.559827898
1741,Acsa,AMF,Med,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1297,5,21,0,NA,NA,12.42,NA,NA,69.06,NA,12.41658529,13.55007148,0.117823754
1742,Acru,AMF,Med,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1757,5,25,1,NA,NA,NA,NA,NA,29.73,NA,12.04237371,9.607648972,0.080304024
1743,Quru,EMF,Med,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1332,5,84,0,NA,NA,NA,NA,NA,43.49,31.04730383,15.61202926,25.12085993,3.55874901
1744,Acsa,AMF,Med,Nonsterile,Heterospecific,Prse,AMF,HetAMF,689,5,84,0,68,NA,NA,NA,NA,68,NA,12.25455611,13.27476347,-0.013076051
1745,Qual,EMF,Med,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1330,5,21,0,NA,NA,20.07,NA,NA,40.85,32.85604433,20.06843599,21.16203393,5.021295743
1746,Acru,AMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,50,5,84,0,1,NA,NA,NA,NA,1,NA,11.29790373,8.712506112,0.01104213
613,Prse,AMF,High,Nonsterile,Conspecific,Prse,AMF,Con,B,2,84,0,NA,NA,NA,NA,NA,74.8675,NA,12.20470374,10.20083915,0.679030538
1748,Quru,EMF,Med,Nonsterile,Conspecific,Quru,EMF,Con,984,5,21,0,NA,NA,13.75,NA,NA,43.93,33.1097415,13.74918891,24.87866125,3.067291974
1568,Prse,AMF,Med,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1468,5,35,1,NA,NA,NA,NA,NA,60.29666667,NA,11.40318794,9.022235386,0.728523436
1750,Acsa,AMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,1757,5,84,0,0,NA,NA,NA,NA,0,NA,12.34188654,13.6514801,0.046553355
1751,Acsa,AMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,275,6,84,0,0,NA,NA,NA,NA,0,NA,12.34188654,13.6514801,0.046553355
1752,Prse,AMF,Med,Nonsterile,Conspecific,Prse,AMF,Con,B,6,21,1,NA,NA,NA,NA,NA,56.32,NA,12.63468427,10.81020744,0.496535327
1753,Acsa,AMF,Med,Nonsterile,Heterospecific,Prse,AMF,HetAMF,689,6,21,0,NA,NA,12.16,NA,NA,65.221,NA,12.15767378,13.33455958,-0.009265885
647,Prse,AMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1323,2,84,0,NA,NA,NA,NA,NA,71.8885,NA,13.00360983,10.75131022,0.923541606
1755,Qual,EMF,Med,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1386,6,84,0,49,NA,NA,NA,NA,49,28.11822557,21.39578596,19.06601008,4.842253274
727,Prse,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1297,3,84,0,NA,NA,NA,NA,NA,69.1,NA,11.50126487,8.791810342,0.824877777
1757,Quru,EMF,Med,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1757,6,84,0,NA,NA,NA,NA,NA,41.3,31.69218097,13.67616174,24.60985677,3.06339316
1758,Qual,EMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,891,6,84,0,42,NA,NA,NA,NA,42,19.87726126,24.25500133,18.56379462,5.065272885
1759,Acru,AMF,Med,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1297,6,84,0,NA,NA,NA,NA,NA,34.092,NA,12.64134471,10.30773568,0.464811184
1760,Acru,AMF,Med,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1323,6,21,0,33,NA,NA,10.3,0.03,33,NA,12.27463559,10.3020474,0.026421383
1761,Quru,EMF,Med,Nonsterile,Conspecific,Quru,EMF,Con,1688,6,84,0,NA,NA,NA,NA,NA,43.67,33.82613618,13.67087691,24.88653623,3.015612079
1762,Qual,EMF,Med,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,561,6,84,0,41,NA,NA,NA,NA,41,23.63683599,23.1528601,18.68321515,4.986169983
1763,Acru,AMF,Med,Nonsterile,Conspecific,Acru,AMF,Con,50,6,84,0,47,NA,NA,NA,NA,47,NA,11.94395953,9.517380401,0.208342521
1764,Acsa,AMF,Med,Nonsterile,Heterospecific,Quru,EMF,HetEMF,984,6,84,0,NA,NA,NA,NA,NA,67.635,NA,12.37285406,13.63357886,0.125041276
1765,Acru,AMF,Med,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1330,6,25,1,NA,NA,NA,NA,NA,30.23,NA,12.06520826,9.655286911,0.080557368
1766,Acsa,AMF,Med,Nonsterile,Conspecific,Acsa,AMF,Con,1330,6,84,0,NA,NA,NA,NA,NA,68.82,NA,12.4352639,13.25377315,0.224830225
1767,Quru,EMF,Med,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1478,6,66,1,NA,NA,NA,NA,NA,46.9,22.81983204,15.39111201,25.9808514,3.507968463
1768,Acsa,AMF,Med,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1468,6,84,0,NA,NA,NA,NA,NA,67.16,NA,12.37952048,13.69885347,0.170403414
1769,Acsa,AMF,Med,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1715,6,84,0,NA,NA,NA,NA,NA,69.27,NA,12.45693388,13.56249882,0.179235274
1770,Acru,AMF,Med,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,561,6,32,1,NA,NA,NA,NA,NA,31.902,NA,12.37826038,10.21418441,0.133027061
1771,Acsa,AMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,1757,6,84,0,NA,NA,NA,NA,NA,8.53E-16,NA,12.1743088,13.71398478,0.022490342
1772,Prse,AMF,Med,Nonsterile,Conspecific,Prse,AMF,Con,689,6,21,0,NA,NA,13.86,NA,NA,58.26,NA,13.86351298,11.98142462,1.02871423
1773,Acsa,AMF,Med,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1468,6,84,0,64,NA,NA,NA,NA,64,NA,12.26569124,13.48021059,0.086419565
1774,Qual,EMF,Med,Nonsterile,Conspecific,Qual,EMF,Con,1478,6,84,0,44,NA,NA,NA,NA,44,31.91476093,18.72323365,22.37769302,4.944936019
1775,Acru,AMF,Med,Nonsterile,Conspecific,Acru,AMF,Con,1386,6,84,0,39,NA,NA,NA,NA,39,NA,12.42205951,10.17025577,0.213768374
1776,Qual,EMF,Med,Nonsterile,Heterospecific,Quru,EMF,HetEMF,921,6,21,0,NA,NA,23.93,NA,NA,44.66,19.75734606,23.93305405,18.83657688,5.01337684
1777,Quru,EMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,1454,6,21,0,0,8,NA,24.4,3.31,0,-7.925259986,14.96217715,24.38079956,3.310871017
1778,Qual,EMF,Med,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1468,6,84,0,NA,NA,NA,NA,NA,40.815,19.54494075,23.72958407,18.63232131,5.020335323
1779,Acru,AMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,285,6,25,1,NA,NA,NA,NA,NA,28.47166667,NA,11.05454534,8.923524368,-0.146695464
1780,Acru,AMF,Med,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1688,6,84,0,NA,NA,NA,NA,NA,33.38166667,NA,11.34465344,9.38594676,-0.055201673
1781,Acru,AMF,Med,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1757,6,84,0,NA,NA,NA,NA,NA,30.29,NA,12.2697923,10.11760861,0.060222397
1590,Prse,AMF,Med,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1297,5,21,0,NA,NA,8.55,NA,NA,46.91636364,NA,8.547785267,6.151092786,0.436364149
1783,Acsa,AMF,Med,Nonsterile,Heterospecific,Prse,AMF,HetAMF,J,6,84,0,NA,NA,NA,NA,NA,65.941,NA,12.19984872,13.48962977,-0.01154634
1784,Quru,EMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,277,6,84,0,NA,NA,NA,NA,NA,45.65,26.04894626,14.99326579,24.73719621,3.458285292
769,Prse,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1688,3,84,0,NA,NA,NA,NA,NA,66.59,NA,12.82509447,10.18154598,0.874907281
1786,Quru,EMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,970,6,21,0,NA,NA,15.73,NA,NA,5.68E-16,3.293941264,15.72894307,24.33895991,3.564783182
1787,Quru,EMF,Med,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1332,6,21,0,43,32,NA,26,3.18,43,31.58152313,14.14845894,25.98113978,3.18020566
1788,Qual,EMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,891,6,21,0,NA,NA,24.96,NA,NA,41.37,20.17622726,24.9630188,18.56554944,5.104059309
1789,Acsa,AMF,Med,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1297,6,84,0,NA,NA,NA,NA,NA,70.08,NA,12.47420228,13.56811289,0.182775696
1790,Quru,EMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,1688,6,84,0,NA,NA,NA,NA,NA,7.82E-16,0.918483158,15.38563773,24.37147064,3.455223316
1791,Acru,AMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,1201,6,84,0,NA,NA,NA,NA,NA,30.34,NA,12.06478236,9.521260289,0.100303021
1792,Acsa,AMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,1201,6,84,0,70,NA,NA,NA,NA,70,NA,12.4308868,13.69713786,0.117502392
1793,Quru,EMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,394,6,21,0,43,2,NA,23,3.56,43,-1.479180904,15.71706508,22.9813986,3.557897535
1794,Qual,EMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,277,6,84,0,NA,NA,NA,NA,NA,41.39,20.17622726,24.54838737,18.56554944,5.104059309
1795,Acsa,AMF,Med,Nonsterile,Conspecific,Acsa,AMF,Con,1330,6,21,0,69,NA,NA,12.3,0.25,69,NA,12.2743257,12.26173479,0.247665409
1796,Acsa,AMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,275,6,21,0,NA,NA,12.3,NA,NA,8.53E-16,NA,12.30309489,13.75084757,0.068696574
1797,Qual,EMF,Med,Nonsterile,Heterospecific,Quru,EMF,HetEMF,984,6,84,0,NA,NA,NA,NA,NA,45.31,32.567303,21.88086085,18.73682712,4.923628131
1798,Qual,EMF,Med,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1688,6,84,0,NA,NA,NA,NA,NA,45.37,34.61293187,21.48252915,18.88554579,4.910092257
1594,Prse,AMF,Med,Nonsterile,Heterospecific,Quru,EMF,HetEMF,984,5,21,0,NA,NA,12.81,NA,NA,51.18,NA,12.80677878,10.92759885,0.7314565
1800,Acru,AMF,Med,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,285,6,21,0,26,NA,NA,9.7,-0.56,26,NA,11.01020622,9.731484994,-0.563894249
1619,Prse,AMF,Med,Nonsterile,Heterospecific,Quru,EMF,HetEMF,921,5,35,1,NA,NA,NA,NA,NA,44.40666667,NA,12.14515081,9.489206321,0.556229458
1658,Prse,AMF,Med,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1688,5,32,1,NA,NA,NA,NA,NA,44.31666667,NA,12.10325329,9.421037625,0.566949263
1803,Qual,EMF,Med,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1757,6,84,0,44,NA,NA,NA,NA,44,32.08525863,21.81411362,18.9744946,4.821889243
1804,Quru,EMF,Med,Nonsterile,Conspecific,Quru,EMF,Con,921,6,21,0,NA,NA,14.47,NA,NA,43.6,29.88917136,14.46825059,25.3454326,3.189032
1805,Quru,EMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,1688,6,35,1,NA,NA,NA,NA,NA,7.82E-16,0.829311991,15.13671278,24.43976398,3.387819601
1806,Acsa,AMF,Med,Nonsterile,Conspecific,Acsa,AMF,Con,1757,6,84,0,NA,NA,NA,NA,NA,67.94857143,NA,12.47206527,13.48667842,0.234346364
