Number,Species,SpMyco,Light,SoilSt,SoilCon,SoilSp,SoilMyco,SoilSpec,Adult,Bench,Time,Event,AMF,EMF,NSC,Lignin,Phenolics,AMF_Imp,EMF_Imp,NSC_Imp,LIG_Imp,PHN_Imp
164,Quru,EMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1320,1,84,0,48,NA,NA,NA,NA,48,29.42567962,17.88545654,21.65160318,3.814202669
165,Quru,EMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1323,1,84,0,45,NA,NA,NA,NA,45,37.70840721,15.55435208,24.73169083,3.576378466
166,Acru,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1297,1,39,1,NA,NA,NA,NA,NA,36.64,NA,11.89646036,8.8981827,0.169746333
167,Acsa,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,970,1,84,0,NA,NA,NA,NA,NA,67.68,NA,12.43683728,13.70628932,0.10141734
168,Qual,EMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,689,1,21,0,NA,NA,23.87,NA,NA,41.01,32.94910725,23.86670599,18.64249208,5.104746613
169,Prse,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,921,1,35,1,66,NA,NA,NA,NA,66,NA,12.60111832,10.04430492,0.827958437
170,Acsa,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,921,1,28,1,NA,NA,NA,NA,NA,69.89,NA,12.52530819,13.59853624,0.201282847
171,Acru,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,394,1,84,0,34,NA,NA,NA,NA,34,NA,12.14099864,9.354381859,0.181267628
2681,Prse,AMF,Low,Sterile,Sterile,Sterile,Sterile,ConSter,J,8,84,0,0,NA,NA,NA,NA,0,NA,8.279847279,5.616195397,0.290643574
173,Quru,EMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,285,1,21,0,48,18,NA,21.3,3.72,48,17.78002106,18.27410259,21.26019963,3.720456833
174,Qual,EMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,118,1,84,0,NA,NA,NA,NA,NA,41.342,37.2993517,22.27348491,18.5619066,4.992624904
175,Prse,AMF,High,Nonsterile,Conspecific,Prse,AMF,Con,1027,1,21,0,79,NA,NA,10.4,0.62,79,NA,12.27543852,10.41356713,0.621716427
176,Prse,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,984,1,21,0,76,NA,NA,9.2,0.93,76,NA,12.45772521,9.224321305,0.932433644
